Company,Quarter,Market Value
Alphabet,"First, 2024",1332000.0
Amazon,"First, 2024",1058000.0
Apple,"First, 2024",2609000.0
Berkshire Hathaway,"First, 2024",677770.0
Meta,"First, 2024",549480.0
Microsoft,"First, 2024",2146000.0
Nvidia,"First, 2024",686090.0
TSMC,"First, 2024",482410.0
Tesla,"First, 2024",656420.0
Visa,"First, 2024",473870.0
Alphabet,"First, 2023",1332000.0
Alphabet,"Third, 2023",1662000.0
Alphabet,"Fourth, 2023",1764000.0
Alphabet,"Second, 2023",1530000.0
Amazon,"Third, 2023",1312000.0
Amazon,"First, 2023",1058000.0
Amazon,"Fourth, 2023",1570000.0
Amazon,"Second, 2023",1337000.0
Apple,"First, 2023",2609000.0
Apple,"Third, 2023",2677000.0
Apple,"Fourth, 2023",2994000.0
Apple,"Second, 2023",3050000.0
Berkshire Hathaway,"First, 2023",677770.0
Berkshire Hathaway,"Third, 2023",769260.0
Berkshire Hathaway,"Second, 2023",745010.0
Berkshire Hathaway,"Fourth, 2023",783550.0
Eli Lilly ,"Third, 2023",509890.0
Eli Lilly ,"Fourth, 2023",553370.0
Meta,"Fourth, 2023",909000.0
Meta,"First, 2023",549480.0
Meta,"Second, 2023",735450.0
Meta,"Third, 2023",772490.0
Microsoft,"Fourth, 2023",2795000.0
Microsoft,"Second, 2023",2532000.0
Microsoft,"Third, 2023",2346000.0
Microsoft,"First, 2023",2146000.0
Nvidia,"Third, 2023",1074000.0
Nvidia,"First, 2023",686090.0
Nvidia,"Fourth, 2023",1223000.0
Nvidia,"Second, 2023",1044000.0
TSMC,"Fourth, 2023",539390.0
TSMC,"Second, 2023",523410.0
TSMC,"First, 2023",482410.0
Tesla,"Third, 2023",794200.0
Tesla,"Second, 2023",829670.0
Tesla,"Fourth, 2023",789930.0
Tesla,"First, 2023",656420.0
Visa,"First, 2023",473870.0
Visa,"Third, 2023",480990.0
Visa,"Second, 2023",497370.0
Alphabet,"First, 2022",1846000.0
Alphabet,"Second, 2022",1435000.0
Alphabet,"Third, 2022",1254000.0
Alphabet,"Fourth, 2022",1145000.0
Amazon,"Third, 2022",1151000.0
Amazon,"First, 2022",1659000.0
Amazon,"Second, 2022",1080000.0
Amazon,"Fourth, 2022",856940.0
Apple,"First, 2022",2850000.0
Apple,"Second, 2022",2212000.0
Apple,"Fourth, 2022",2066000.0
Apple,"Third, 2022",2221000.0
Berkshire Hathaway,"Fourth, 2022",681770.0
Berkshire Hathaway,"First, 2022",779150.0
Berkshire Hathaway,"Second, 2022",602450.0
Berkshire Hathaway,"Third, 2022",596410.0
ExxonMobil,"Fourth, 2022",454240.0
Johnson & Johnson,"Fourth, 2022",461840.0
Johnson & Johnson,"Third, 2022",429500.0
Johnson & Johnson,"Second, 2022",467090.0
Meta,"Third, 2022",364650.0
Meta,"Second, 2022",436390.0
Meta,"First, 2022",605250.0
Microsoft,"First, 2022",2311000.0
Microsoft,"Second, 2022",1920000.0
Microsoft,"Third, 2022",1737000.0
Microsoft,"Fourth, 2022",1787000.0
Nvidia,"First, 2022",684880.0
TSMC,"First, 2022",540670.0
Tencent,"Fourth, 2022",405090.0
Tencent,"Second, 2022",445990.0
Tesla,"Third, 2022",831150.0
Tesla,"First, 2022",1114000.0
Tesla,"Second, 2022",697660.0
UnitedHealth,"Fourth, 2022",495370.0
UnitedHealth,"First, 2022",479830.0
UnitedHealth,"Third, 2022",472410.0
UnitedHealth,"Second, 2022",481870.0
Visa,"Third, 2022",374380.0
Visa,"Fourth, 2022",439950.0
Alibaba Group,"First, 2021",615010.0
Alibaba Group ,"Second, 2021",615140.0
Alphabet,"First, 2021",1395000.0
Alphabet ,"Fourth, 2021",1922000.0
Alphabet ,"Third, 2021",1777000.0
Alphabet ,"Second, 2021",1680000.0
Amazon,"First, 2021",1558000.0
Amazon ,"Fourth, 2021",1691000.0
Amazon ,"Third, 2021",1664000.0
Amazon ,"Second, 2021",1735000.0
Apple,"First, 2021",2050000.0
Apple ,"Fourth, 2021",2913000.0
Apple ,"Second, 2021",2286000.0
Apple ,"Third, 2021",2339000.0
Berkshire Hathaway,"First, 2021",590050.0
Berkshire Hathaway ,"Fourth, 2021",668630.0
Berkshire Hathaway ,"Second, 2021",637280.0
Berkshire Hathaway ,"Third, 2021",619950.0
Meta,"First, 2021",838720.0
Meta ,"Second, 2021",985920.0
Meta ,"Third, 2021",956890.0
Meta ,"Fourth, 2021",935640.0
Microsoft,"First, 2021",1778000.0
Microsoft ,"Second, 2021",2040000.0
Microsoft ,"Fourth, 2021",2525000.0
Microsoft ,"Third, 2021",2119000.0
Nvidia,"Fourth, 2021",732920.0
Nvidia,"Third, 2021",517900.0
TSMC,"First, 2021",613410.0
TSMC ,"Fourth, 2021",623930.0
TSMC ,"Second, 2021",623160.0
TSMC ,"Third, 2021",579030.0
Tencent,"First, 2021",766970.0
Tencent ,"Fourth, 2021",559900.0
Tencent ,"Second, 2021",721460.0
Tencent ,"Third, 2021",574460.0
Tesla,"First, 2021",641110.0
Tesla ,"Fourth, 2021",1061000.0
Tesla ,"Second, 2021",654780.0
Tesla ,"Third, 2021",776850.0
Alibaba Group,"Third, 2020",795400.0
Alibaba Group,"Second, 2020",579740.0
Alibaba Group,"First, 2020",521740.0
Alibaba Group,"Fourth, 2020",628650.0
Alphabet,"Third, 2020",999570.0
Alphabet,"First, 2020",799180.0
Alphabet,"Second, 2020",979700.0
Alphabet,"Fourth, 2020",1185000.0
Amazon,"Second, 2020",1432590.0
Amazon,"Third, 2020",1577000.0
Amazon,"Fourth, 2020",1634000.0
Amazon,"First, 2020",970590.0
Apple,"Fourth, 2020",2254000.0
Apple,"Third, 2020",1981000.0
Apple,"First, 2020",1113000.0
Apple,"Second, 2020",1576000.0
