Company,Quarter,Market Value (in Millions)
Tesla, 'July 1, 2024', 669280.0
Broadcom, 'July 1, 2024', 763770.0
Eli Lilly, 'July 1, 2024', 823300.0
Berkshire Hathaway, 'July 1, 2024', 874760.0
Meta, 'July 1, 2024', 1280000.0
Amazon, 'July 1, 2024', 2052000.0
Alphabet, 'July 1, 2024', 2269000.0
Nvidia, 'July 1, 2024', 3057000.0
Apple, 'July 1, 2024', 3323000.0
Microsoft, 'July 1, 2024', 3394000.0
Alphabet,"January 1, 2024",1893000.0
Amazon,"January 1, 2024",1874000.0
Apple,"January 1, 2024",2648000.0
Berkshire Hathaway,"January 1, 2024",912130.0
Broadcom,"January 1, 2024",614220.0
Eli Lilly ,"January 1, 2024",739660.0
Meta,"January 1, 2024",1238000.0
Microsoft,"January 1, 2024",3126000.0
Nvidia,"January 1, 2024",2259000.0
TSMC,"January 1, 2024",705690.0
Alphabet,"January 1, 2023",1332000.0
Alphabet,"July 1, 2023",1662000.0
Alphabet,"October 1, 2023",1764000.0
Alphabet,"April 1, 2023",1530000.0
Amazon,"July 1, 2023",1312000.0
Amazon,"January 1, 2023",1058000.0
Amazon,"October 1, 2023",1570000.0
Amazon,"April 1, 2023",1337000.0
Apple,"January 1, 2023",2609000.0
Apple,"July 1, 2023",2677000.0
Apple,"October 1, 2023",2994000.0
Apple,"April 1, 2023",3050000.0
Berkshire Hathaway,"January 1, 2023",677770.0
Berkshire Hathaway,"July 1, 2023",769260.0
Berkshire Hathaway,"April 1, 2023",745010.0
Berkshire Hathaway,"October 1, 2023",783550.0
Eli Lilly ,"July 1, 2023",509890.0
Eli Lilly ,"October 1, 2023",553370.0
Meta,"October 1, 2023",909000.0
Meta,"January 1, 2023",549480.0
Meta,"April 1, 2023",735450.0
Meta,"July 1, 2023",772490.0
Microsoft,"October 1, 2023",2795000.0
Microsoft,"April 1, 2023",2532000.0
Microsoft,"July 1, 2023",2346000.0
Microsoft,"January 1, 2023",2146000.0
Nvidia,"July 1, 2023",1074000.0
Nvidia,"January 1, 2023",686090.0
Nvidia,"October 1, 2023",1223000.0
Nvidia,"April 1, 2023",1044000.0
TSMC,"October 1, 2023",539390.0
TSMC,"April 1, 2023",523410.0
